Sample ID,d13C,C Amount (ug),d13C Comment,d15N,N Amount (ug),d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,Amount (mg),OurLabID,Analysis Number
1OR20170331CIC1-1,-18.23,501.97,,11.31,122.83,,2017oryza-1,A1,whole-body arthropod,"13C, 15N",No,,1.037,1250307,273541
1OR20170331AGR1-1,-22.72,555.51,,8.01,105.26,,2017oryza-1,A2,whole-body arthropod,"13C, 15N",No,,1.095,1250308,273542
1OR20170331SCI1-1,-26.42,500.72,,7.91,120.74,,2017oryza-1,A3,whole-body arthropod,"13C, 15N",No,,1.022,1250309,273543
1CV20170331AGR1-1,-20.95,500.41,,7.12,101.68,,2017oryza-1,A4,whole-body arthropod,"13C, 15N",No,,0.975,1250310,273544
1CV20170331AGR1-2,-21.39,529.62,,7.03,103.08,,2017oryza-1,A5,whole-body arthropod,"13C, 15N",No,,1.017,1250311,273545
1CV20170331AGR1-3,-21.15,532.40,,6.89,112.56,,2017oryza-1,A6,whole-body arthropod,"13C, 15N",No,,1.05,1250312,273546
2OR20170331CHI1-1,-25.25,389.52,,8.09,91.09,,2017oryza-1,A7,whole-body arthropod,"13C, 15N",No,,0.776,1250313,273547
2OR20170331AGR1-1,-24.98,477.64,,7.55,102.84,,2017oryza-1,A8,whole-body arthropod,"13C, 15N",No,,0.993,1250314,273548
2CV20170331AGR1-1,-22.06,585.94,,8.37,99.53,,2017oryza-1,A9,whole-body arthropod,"13C, 15N",No,,1.11,1250315,273549
2CV20170331AGR1-2,-22.34,531.89,,7.26,88.93,,2017oryza-1,A10,whole-body arthropod,"13C, 15N",No,,1.014,1250316,273550
2CV20170331CHI1-1,-26.71,445.69,,7.90,103.77,,2017oryza-1,A11,whole-body arthropod,"13C, 15N",No,,0.621,1250317,273551
3OR20170407AGR1-1,-21.08,529.04,,9.22,114.50,,2017oryza-1,A12,whole-body arthropod,"13C, 15N",No,,1.079,1250318,273552
3OR20170407AGR1-2,-24.09,609.23,,9.33,112.34,,2017oryza-1,B1,whole-body arthropod,"13C, 15N",No,,1.171,1250319,273556
3OR20170407TRI1-1,-20.94,469.84,,4.30,119.19,,2017oryza-1,B2,whole-body arthropod,"13C, 15N",No,,0.982,1250320,273557
3OR20170407TRI1-2,-22.04,492.17,,4.27,99.10,,2017oryza-1,B3,whole-body arthropod,"13C, 15N",No,,0.983,1250321,273558
3OR20170407TRI1-3,-21.57,546.92,,3.18,143.71,,2017oryza-1,B4,whole-body arthropod,"13C, 15N",No,,1.17,1250322,273559
3CV20170407TRI1-1,-21.46,534.85,,2.94,137.54,,2017oryza-1,B5,whole-body arthropod,"13C, 15N",No,,1.145,1250323,273560
3CV20170407AGR1-1,-20.97,469.04,,9.67,119.95,,2017oryza-1,B6,whole-body arthropod,"13C, 15N",No,,1.054,1250324,273561
3CV20170407AGR1-2,-21.20,659.09,,10.48,157.01,,2017oryza-1,B7,whole-body arthropod,"13C, 15N",No,,0.979,1250325,273562
3CV20170407AGR1-3,-21.54,523.37,,9.39,108.59,,2017oryza-1,B8,whole-body arthropod,"13C, 15N",No,,1.063,1250326,273563
3CV20170407CHI1-1,-24.73,552.98,,10.73,124.65,,2017oryza-1,B9,whole-body arthropod,"13C, 15N",No,,1.157,1250327,273564
3CV20170407CHI1-2,-24.57,520.01,,10.49,119.91,,2017oryza-1,B10,whole-body arthropod,"13C, 15N",No,,1.115,1250328,273565
3CV20170407CHI1-3,-24.20,368.54,,10.64,85.55,,2017oryza-1,B11,whole-body arthropod,"13C, 15N",No,,0.766,1250329,273566
1OROS20170623-1,-28.51,882.29,,8.77,54.84,,2017oryza-1,C1,Plant leaf,"13C, 15N",No,,2.15,1250331,273415
1OROS20170623-2,-28.80,866.92,,9.76,63.70,,2017oryza-1,C2,Plant leaf,"13C, 15N",No,,2.077,1250332,273416
1OROS20170623-3,-29.04,882.72,,8.31,67.13,,2017oryza-1,C3,Plant leaf,"13C, 15N",No,,2.039,1250333,273417
1ORBP20170623-1,-31.18,898.16,,4.29,56.35,,2017oryza-1,C4,Plant leaf,"13C, 15N",No,,2.076,1250334,273418
1ORBP20170623-2,-30.71,943.50,,4.32,59.30,,2017oryza-1,C5,Plant leaf,"13C, 15N",No,,2.137,1250335,273419
1ORBP20170623-3,-31.09,903.38,,3.48,54.11,,2017oryza-1,C6,Plant leaf,"13C, 15N",No,,2.063,1250336,273420
1CVOS20170623-1,-29.70,869.62,,6.48,57.81,,2017oryza-1,C7,Plant leaf,"13C, 15N",No,,2.021,1250337,273421
1CVOS20170623-2,-29.99,881.89,,7.67,46.12,,2017oryza-1,C8,Plant leaf,"13C, 15N",No,,2.097,1250338,273422
1CVOS20170623-3,-29.47,929.86,,6.05,55.31,,2017oryza-1,C9,Plant leaf,"13C, 15N",No,,2.094,1250339,273423
1CVBP20170623-1,-30.98,927.80,,2.90,55.51,,2017oryza-1,C10,Plant leaf,"13C, 15N",No,,2.162,1250340,273424
1CVBP20170623-2,-30.17,873.26,,3.60,57.84,,2017oryza-1,C11,Plant leaf,"13C, 15N",No,,2.031,1250341,273425
1CVBP20170623-3,-30.53,897.12,,2.10,61.46,,2017oryza-1,C12,Plant leaf,"13C, 15N",No,,2.072,1250342,273426
2OROS20170623-1,-29.97,953.63,,5.79,48.03,,2017oryza-1,D1,Plant leaf,"13C, 15N",No,,2.185,1250343,273430
2OROS20170623-2,-29.68,937.79,,6.81,52.13,,2017oryza-1,D2,Plant leaf,"13C, 15N",No,,2.177,1250344,273431
2OROS20170623-3,-29.60,871.50,,6.76,41.90,,2017oryza-1,D3,Plant leaf,"13C, 15N",No,,2.027,1250345,273432
2ORBP20170623-1,-31.11,898.68,,1.76,47.64,,2017oryza-1,D4,Plant leaf,"13C, 15N",No,,2.027,1250346,273433
2ORBP20170623-2,-32.60,893.04,,0.80,43.73,,2017oryza-1,D5,Plant leaf,"13C, 15N",No,,2.093,1250347,273434
2ORBP20170623-3,-32.89,906.43,,4.34,66.89,,2017oryza-1,D6,Plant leaf,"13C, 15N",No,,2.128,1250348,273435
2CVOS20170623-1,-29.24,851.34,,4.46,60.54,,2017oryza-1,D7,Plant leaf,"13C, 15N",No,,2.124,1250349,273436
2CVOS20170623-2,-29.49,855.45,,5.75,62.99,,2017oryza-1,D8,Plant leaf,"13C, 15N",No,,2.021,1250350,273437
2CVOS20170623-3,-29.19,877.37,,5.23,63.17,,2017oryza-1,D9,Plant leaf,"13C, 15N",No,,2.14,1250351,273438
2CVBP20170623-1,-31.49,932.27,,3.28,38.80,,2017oryza-1,D10,Plant leaf,"13C, 15N",No,,2.113,1250352,273439
2CVBP20170623-2,-30.71,934.99,,0.69,54.58,,2017oryza-1,D11,Plant leaf,"13C, 15N",No,,2.085,1250353,273440
2CVBP20170623-3,-30.79,867.32,,5.55,51.31,,2017oryza-1,D12,Plant leaf,"13C, 15N",No,,2.017,1250354,273441
3OROS20170623-1,-29.89,925.68,,8.22,74.50,,2017oryza-1,E1,Plant leaf,"13C, 15N",No,,2.16,1250355,273444
3OROS20170623-2,-30.26,925.10,,8.75,71.59,,2017oryza-1,E2,Plant leaf,"13C, 15N",No,,2.185,1250356,273445
3OROS20170623-3,-29.98,932.43,,8.53,67.10,,2017oryza-1,E3,Plant leaf,"13C, 15N",No,,2.123,1250357,273446
3ORBP20170623-1,-31.99,928.97,,5.15,84.47,,2017oryza-1,E4,Plant leaf,"13C, 15N",No,,2.11,1250358,273447
3ORBP20170623-2,-30.70,961.12,,4.99,69.76,,2017oryza-1,E5,Plant leaf,"13C, 15N",No,,2.172,1250359,273448
3ORBP20170623-3,-31.45,914.19,,5.76,65.59,,2017oryza-1,E6,Plant leaf,"13C, 15N",No,,2.08,1250360,273449
3CVOS20170623-1,-29.60,906.82,,6.54,58.90,,2017oryza-1,E7,Plant leaf,"13C, 15N",No,,2.034,1250361,273450
3CVOS20170623-2,-29.78,902.99,,6.61,57.75,,2017oryza-1,E8,Plant leaf,"13C, 15N",No,,2.05,1250362,273451
3CVOS20170623-3,-29.73,882.34,,5.90,51.23,,2017oryza-1,E9,Plant leaf,"13C, 15N",No,,2.017,1250363,273452
3CVBP20170623-1,-31.33,888.22,,4.67,44.02,,2017oryza-1,E10,Plant leaf,"13C, 15N",No,,2.081,1250364,273453
3CVBP20170623-2,-31.89,887.22,,6.83,48.40,,2017oryza-1,E11,Plant leaf,"13C, 15N",No,,2.07,1250365,273454
3CVBP20170623-3,-33.86,921.51,,2.70,84.40,,2017oryza-1,E12,Plant leaf,"13C, 15N",No,,2.093,1250366,273455
1CVOS20170712-1,-29.96,914.54,,6.75,50.79,,2017oryza-1,F1,Plant leaf,"13C, 15N",No,,2.197,1250367,273459
1CVOS20170712-2,-29.10,972.91,,5.43,54.05,,2017oryza-1,F2,Plant leaf,"13C, 15N",No,,2.27,1250368,273460
1CVOS20170712-3,-28.90,914.80,,6.35,36.17,,2017oryza-1,F3,Plant leaf,"13C, 15N",No,,2.217,1250369,273461
1CVBP20170712-1,-30.71,947.78,,1.35,54.34,,2017oryza-1,F4,Plant leaf,"13C, 15N",No,,2.188,1250370,273462
2CVOS20170712-1,-29.27,886.83,,6.39,43.94,,2017oryza-1,F5,Plant leaf,"13C, 15N",No,,2.064,1250371,273463
2CVOS20170712-2,-29.28,907.76,,5.79,49.50,,2017oryza-1,F6,Plant leaf,"13C, 15N",No,,2.157,1250372,273464
2CVBP20170712-1,-30.98,859.13,,3.37,47.86,,2017oryza-1,F7,Plant leaf,"13C, 15N",No,,2.03,1250373,273465
2CVBP20170712-2,-32.20,904.00,,4.22,63.75,,2017oryza-1,F8,Plant leaf,"13C, 15N",No,,2.169,1250374,273466
3CVOS20170712-1,-29.01,834.53,,5.81,26.20,,2017oryza-1,F9,Plant leaf,"13C, 15N",No,,2.213,1250375,273467
3CVOS20170712-2,-28.72,909.60,,8.73,39.96,,2017oryza-1,F10,Plant leaf,"13C, 15N",No,,2.156,1250376,273468
3CVOS20170712-3,-29.21,922.79,,11.72,36.46,,2017oryza-1,F11,Plant leaf,"13C, 15N",No,,2.157,1250377,273469
3CVBP20170712-1,-31.30,924.12,,7.00,70.82,,2017oryza-1,F12,Plant leaf,"13C, 15N",No,,2.157,1250378,273470
3CVBP20170712-2,-30.65,931.77,,5.70,59.68,,2017oryza-1,G1,Plant leaf,"13C, 15N",No,,2.173,1250379,273477
3CVBP20170712-3,-30.68,865.00,,5.95,42.56,,2017oryza-1,G2,Plant leaf,"13C, 15N",No,,2.088,1250380,273478
3OROS20170712-1,-29.86,852.15,,7.61,53.12,,2017oryza-1,G3,Plant leaf,"13C, 15N",No,,2.154,1250381,273479
3OROS20170712-2,-29.99,892.23,,8.41,59.61,,2017oryza-1,G4,Plant leaf,"13C, 15N",No,,2.161,1250382,273480
3OROS20170712-3,-30.41,865.40,,6.64,56.65,,2017oryza-1,G5,Plant leaf,"13C, 15N",No,,2.169,1250383,273481
3ORBP20170712-1,-31.96,953.61,,3.33,103.42,,2017oryza-1,G6,Plant leaf,"13C, 15N",No,,2.144,1250384,273482
3ORBP20170712-2,-31.61,877.58,,1.87,73.95,,2017oryza-1,G7,Plant leaf,"13C, 15N",No,,2.079,1250385,273483
3ORBP20170712-3,-30.88,931.58,,6.00,51.96,,2017oryza-1,G8,Plant leaf,"13C, 15N",No,,2.181,1250386,273484
1CVBP20170712-2,-29.55,873.85,,3.19,74.93,,2017oryza-1,G9,Plant leaf,"13C, 15N",No,,2.031,1250387,273485
1CVBP20170712-3,-31.76,899.56,,3.20,80.46,,2017oryza-1,G10,Plant leaf,"13C, 15N",No,,2.119,1250388,273486
2CVOS20170712-3,-29.59,900.70,,7.76,56.66,,2017oryza-1,G11,Plant leaf,"13C, 15N",No,,2.099,1250389,273487
2CVBP20170712-3,-32.39,901.69,,3.62,46.11,,2017oryza-1,G12,Plant leaf,"13C, 15N",No,,2.085,1250390,273488
1OROS20170712-1,-29.57,776.05,,5.99,25.04,,2017oryza-1,H1,Plant leaf,"13C, 15N",No,,2.014,1250391,273492
1OROS20170712-2,-29.93,804.42,,9.07,38.70,,2017oryza-1,H2,Plant leaf,"13C, 15N",No,,2.114,1250392,273493
1OROS20170712-3,-29.50,768.59,,7.91,37.55,,2017oryza-1,H3,Plant leaf,"13C, 15N",No,,2.04,1250393,273494
1ORBP20170712-1,-30.64,867.59,,4.55,55.57,,2017oryza-1,H4,Plant leaf,"13C, 15N",No,,2.016,1250394,273495
1ORBP20170712-2,-29.82,907.59,,3.25,63.18,,2017oryza-1,H5,Plant leaf,"13C, 15N",No,,2.134,1250395,273496
1ORBP20170712-3,-30.06,946.11,,5.07,68.35,,2017oryza-1,H6,Plant leaf,"13C, 15N",No,,2.214,1250396,273497
