Ident,Amt,d 15N,Amt%,,,d 13C,Amt%
1OrBp20170331,2.089,5.586,2.12,,,-29.613,34.98
1OrOs20170331,2.07,2.580,3.81,,,-29.907,35.92
1CvBp20170331,2.049,3.074,2.61,,,-31.262,35.19
1CvOs20170331,1.973,-7.896,4.94,,,-30.224,36.09
2OrBp20170331,2.052,2.082,2.96,,,-31.888,35.07
2OrOs20170331,2.079,6.222,3.76,,,-31.406,35.54
2CvBp20170331,1.968,3.641,3.11,,,-31.229,35.13
2CvOs20170331,1.962,-1.464,4.25,,,-30.549,35.45
3OrBp20170407,2.026,1.935,4.21,,,-32.260,37.34
3OrOs20170407,2.056,5.941,4.13,,,-30.039,36.28
1OrBp20170331,2.069,5.263,2.14,,,-29.578,35.28
1OrBp20170331,2.049,5.385,2.11,,,-29.618,35.22
1OrOs20170331,2.022,2.632,3.81,,,-29.955,36.03
1OrOs20170331,2.06,-6.979,-0.01,$,$,,
1CvBp20170331,1.95,3.021,4.09,$,$,-31.414,52.42
1CvBp20170331,1.993,3.001,3.40,,,-31.287,44.07
1CvOs20170331,2.026,-7.851,4.97,,,-30.213,36.31
1CvOs20170331,2.049,-7.877,5.00,,,-30.050,36.51
2OrBp20170331,2.027,2.078,2.97,,,-31.777,35.36
2OrBp20170331,1.992,2.030,2.93,,,-31.795,35.13
3CvBp20170407,1.965,0.918,4.77,,,-31.019,36.52
3CvOs20170407,2.072,-2.673,4.38,,,-30.043,35.72
2CvBp20170512,2.257,4.991,3.17,,,-31.770,34.53
2CvOs20170512,2.144,6.008,2.94,,,-29.746,36.23
2CvOs20170512,2.163,5.917,2.89,,,-29.712,36.15
2CvOs20170512,2.216,5.859,2.91,,,-29.672,36.36
3OrBp20170512,2.244,3.353,2.95,,,-32.681,34.73
3OrBp20170512,2.22,3.309,2.94,,,-32.676,34.76
3OrBp20170512,2.261,3.325,2.90,,,-32.673,34.67
2OrOs20170331,1.989,6.165,3.78,,,-31.328,35.66
2OrOs20170331,2.061,6.226,3.80,,,-31.331,35.60
2CvBp20170331,2.04,3.522,3.12,,,-31.166,35.23
2CvBp20170331,1.945,3.580,3.15,,,-31.158,35.29
2CvOs20170331,2.056,-1.363,4.24,,,-30.461,35.12
2CvOs20170331,2.043,-1.495,4.23,,,-30.461,35.16
3OrBp20170407,2.003,1.894,4.26,,,-32.292,37.42
3OrBp20170407,2.067,-8.790,-0.00,$,$,,
3OrOs20170407,2.076,4.243,7.72,$,$,-31.188,68.58
3OrOs20170407,2.075,5.880,4.11,,,-29.764,36.17
1OrBp20170512,2.232,3.319,2.12,,,-30.983,36.93
1OrBp20170512,2.182,3.231,1.97,,,-31.050,34.23
1OrBp20170512,2.23,3.129,2.15,,,-31.065,36.98
1OrOs20170512,2.244,8.583,3.04,,,-29.318,37.20
1OrOs20170512,2.174,8.533,3.02,,,-29.302,37.01
1OrOs20170512,2.177,8.549,3.03,,,-29.332,36.97
1CvBp20170512,2.183,5.816,1.93,,,-31.202,35.75
1CvBp20170512,2.2,6.166,1.95,,,-31.018,35.84
1CvBp20170512,2.137,5.707,1.93,,,-31.095,35.68
1CvOs20170512,2.187,8.488,2.77,,,-28.967,37.68
1CvOs20170512,2.057,8.609,2.69,,,-28.969,36.62
1CvOs20170512,2.264,8.733,2.62,,,-28.997,36.23
2OrBp20170512,2.234,3.949,2.01,,,-32.127,34.41
2OrBp20170512,2.185,3.738,1.98,,,-32.100,34.50
2OrBp20170512,2.206,3.781,2.00,,,-32.160,34.56
2OrOs20170512,2.167,6.179,2.65,,,-30.066,35.58
2OrOs20170512,2.195,6.181,2.62,,,-30.112,35.59
2OrOs20170512,2.284,6.154,2.62,,,-30.130,35.57
2CvBp20170512,2.258,4.943,3.14,,,-31.726,34.89
2CvBp20170512,2.23,4.950,3.17,,,-31.767,34.83
3CvOs20170407,2.063,-2.817,4.39,,,-30.148,35.95
3CvOs20170407,1.995,-2.820,4.36,,,-30.174,35.75
3OrOs20170512,2.163,10.249,2.51,,,-29.925,36.73
3OrOs20170512,2.23,10.223,2.49,,,-29.957,36.98
3OrOs20170512,2.17,10.202,2.51,,,-29.907,36.97
1OrOs20170331,2.286,2.542,3.90,,,-29.861,36.32
1CvBp20170331,2.275,3.073,2.69,,,-31.241,35.96
3OrBp20170407,2.23,1.851,4.33,,,-32.264,37.64
3CvOs20170407,2.282,5.938,4.19,,,-29.841,36.14
3CvBp20170407,2.168,0.702,4.96,,,-31.117,37.32
3CvBp20170407,2.192,0.751,4.93,,,-31.067,37.49
3CvBp20170512,2.147,5.366,3.58,,,-31.993,34.85
3CvBp20170512,2.236,5.326,3.57,,,-31.959,34.81
3CvBp20170512,2.214,5.370,3.50,,,-32.028,34.66
3CvOs20170512,2.192,6.275,3.14,,,-29.597,37.49
3CvOs20170512,2.193,6.257,3.15,,,-29.568,37.56
3CvOs20170512,2.223,6.258,3.10,,,-29.569,37.23
